election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,徳島県,次世代の党,,,,27
h26-12-14,徳島県,社会民主党,,,,27
h26-12-14,徳島県,生活の党,,,,27
h26-12-14,香川県,日本共産党,24561,,24561,27
h26-12-14,香川県,次世代の党,,,,27
h26-12-14,香川県,社会民主党,25899,,25899,27
h26-12-14,香川県,生活の党,,,,27
h26-12-14,愛媛県,日本共産党,36348,,36348,27
h26-12-14,愛媛県,次世代の党,47637,,47637,27
h26-12-14,愛媛県,社会民主党,,,,27
h26-12-14,愛媛県,生活の党,,,,27
h26-12-14,高知県,日本共産党,60607,,60607,27
h26-12-14,高知県,次世代の党,,,,27
h26-12-14,高知県,社会民主党,,,,27
h26-12-14,高知県,生活の党,,,,27
h26-12-14,福岡県,日本共産党,166252,142939,309191,27
h26-12-14,福岡県,次世代の党,,,,27
h26-12-14,福岡県,社会民主党,24138,,24138,27
h26-12-14,福岡県,生活の党,,,,27
h26-12-14,佐賀県,日本共産党,11483,8812,20295,27
h26-12-14,佐賀県,次世代の党,,,,27
h26-12-14,佐賀県,社会民主党,,,,27
h26-12-14,佐賀県,生活の党,,,,27
h26-12-14,長崎県,日本共産党,66064,,66064,27
h26-12-14,長崎県,次世代の党,,,,27
h26-12-14,長崎県,社会民主党,,,,27
h26-12-14,長崎県,生活の党,9303,,9303,27
h26-12-14,熊本県,日本共産党,59477,66750,126227,27
h26-12-14,熊本県,次世代の党,101581,,101581,27
h26-12-14,熊本県,社会民主党,26245,,26245,27
h26-12-14,熊本県,生活の党,,,,27
h26-12-14,大分県,日本共産党,48677,,48677,27
h26-12-14,大分県,次世代の党,,,,27
h26-12-14,大分県,社会民主党,59775,,59775,27
h26-12-14,大分県,生活の党,,,,27
h26-12-14,宮崎県,日本共産党,73311,,73311,27
h26-12-14,宮崎県,次世代の党,,,,27
h26-12-14,宮崎県,社会民主党,,,,27
h26-12-14,宮崎県,生活の党,,,,27
