election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
r06-10-27,佐賀県,参政党,7108,,7108,30
r06-10-27,佐賀県,みんなでつくる党,,,,30
r06-10-27,長崎県,参政党,9401,15365,24766,30
r06-10-27,長崎県,みんなでつくる党,,,,30
r06-10-27,熊本県,参政党,22958,51269,74227,30
r06-10-27,熊本県,みんなでつくる党,,,,30
r06-10-27,大分県,参政党,15626,,15626,30
r06-10-27,大分県,みんなでつくる党,,,,30
r06-10-27,宮崎県,参政党,,17100,17100,30
r06-10-27,宮崎県,みんなでつくる党,,,,30
r06-10-27,鹿児島県,参政党,16607.576,7982,24589.576,30
r06-10-27,鹿児島県,みんなでつくる党,,,,30
r06-10-27,沖縄県,参政党,21513,11813,33326,30
r06-10-27,沖縄県,みんなでつくる党,,,,30
r06-10-27,合計,参政党,782722.159,574467,1357189.159,30
r06-10-27,合計,みんなでつくる党,19475,9800,29275,30
r06-10-27,北海道,諸派,,,,31
r06-10-27,北海道,無所属,11972,10322,22294,31
r06-10-27,北海道,__TOTAL__,1688041,699016,2387057,31
r06-10-27,青森県,諸派,,,,31
r06-10-27,青森県,無所属,63205,,63205,31
r06-10-27,青森県,__TOTAL__,418026,104805,522831,31
r06-10-27,岩手県,諸派,,,,31
r06-10-27,岩手県,無所属,,,,31
r06-10-27,岩手県,__TOTAL__,453517,86083,539600,31
r06-10-27,宮城県,諸派,,,,31
r06-10-27,宮城県,無所属,,,,31
r06-10-27,宮城県,__TOTAL__,733463,231532,964995,31
r06-10-27,秋田県,諸派,,,,31
r06-10-27,秋田県,無所属,,,,31
r06-10-27,秋田県,__TOTAL__,447527,22043,469570,31
r06-10-27,山形県,諸派,,,,31
r06-10-27,山形県,無所属,,,,31
r06-10-27,山形県,__TOTAL__,425804,93909,519713,31
r06-10-27,福島県,諸派,,,,31
r06-10-27,福島県,無所属,68133,,68133,31
r06-10-27,福島県,__TOTAL__,661223,137035,798258,31
r06-10-27,茨城県,諸派,,,,31
r06-10-27,茨城県,無所属,195332,,195332,31
r06-10-27,茨城県,__TOTAL__,912741,294106,1206847,31
r06-10-27,栃木県,諸派,,,,31
r06-10-27,栃木県,無所属,58815,,58815,31
r06-10-27,栃木県,__TOTAL__,689733,88117,777850,31
r06-10-27,群馬県,諸派,,,,31
r06-10-27,群馬県,無所属,48251,,48251,31
r06-10-27,群馬県,__TOTAL__,545047,209869,754916,31
r06-10-27,埼玉県,諸派,35443.248,,35443.248,31
r06-10-27,埼玉県,無所属,111293,,111293,31
r06-10-27,埼玉県,__TOTAL__,2473394.993,564048,3037442.993,31
r06-10-27,千葉県,諸派,,,,31
r06-10-27,千葉県,無所属,24569,,24569,31
r06-10-27,千葉県,__TOTAL__,2324652.998,326956,2651608.998,31
r06-10-27,東京都,諸派,530,,530,31
r06-10-27,東京都,無所属,549978.999,58883,608861.999,31
r06-10-27,東京都,__TOTAL__,4504352.396,1719171.596,6223523.992,31
r06-10-27,神奈川県,諸派,,,,31
r06-10-27,神奈川県,無所属,59225,4859,64084,31
r06-10-27,神奈川県,__TOTAL__,3321108,747461,4068569,31
r06-10-27,新潟県,諸派,,,,31
r06-10-27,新潟県,無所属,110520,,110520,31
r06-10-27,新潟県,__TOTAL__,814795,222821,1037616,31
r06-10-27,富山県,諸派,,,,31
r06-10-27,富山県,無所属,19870,,19870,31
r06-10-27,富山県,__TOTAL__,452886,,452886,31
r06-10-27,石川県,諸派,,,,31
