election_id,tier,scope,block,prefecture,rate_male,rate_female,rate_total,prev_rate_male,prev_rate_female,prev_rate_total,diff_male,diff_female,diff_total,source_page
r08-02-08,pr,overseas,北陸信越,福井県,28.46,25.73,26.79,12.80,13.09,12.97,15.66,12.64,13.82,16
r08-02-08,pr,overseas,北陸信越,長野県,24.81,20.83,22.36,15.29,12.38,13.50,9.52,8.45,8.86,16
r08-02-08,pr,overseas,北陸信越,計,25.29,23.67,24.26,15.65,13.49,14.30,9.64,10.18,9.96,16
r08-02-08,pr,overseas,東海,岐阜県,26.26,25.00,25.45,19.58,15.24,16.85,6.68,9.76,8.60,16
r08-02-08,pr,overseas,東海,静岡県,29.54,25.20,27.11,18.10,13.40,15.49,11.44,11.80,11.62,16
r08-02-08,pr,overseas,東海,愛知県,32.07,27.85,29.67,21.49,17.89,19.44,10.58,9.96,10.23,16
r08-02-08,pr,overseas,東海,三重県,24.37,25.90,25.26,15.16,16.24,15.78,9.21,9.66,9.48,16
r08-02-08,pr,overseas,東海,計,30.03,26.57,28.04,19.62,16.13,17.62,10.41,10.44,10.42,16
r08-02-08,pr,overseas,近畿,滋賀県,26.35,27.92,27.26,14.09,17.75,16.17,12.26,10.17,11.09,16
r08-02-08,pr,overseas,近畿,京都府,34.19,32.16,32.96,25.82,18.80,21.54,8.37,13.36,11.42,16
r08-02-08,pr,overseas,近畿,大阪府,34.27,28.78,30.91,23.15,19.05,20.64,11.12,9.73,10.27,16
r08-02-08,pr,overseas,近畿,兵庫県,36.63,29.11,31.93,23.05,17.87,19.83,13.58,11.24,12.10,16
r08-02-08,pr,overseas,近畿,奈良県,32.95,30.69,31.54,21.94,21.22,21.50,11.01,9.47,10.04,16
r08-02-08,pr,overseas,近畿,和歌山県,11.98,13.07,12.68,9.52,8.57,8.91,2.46,4.50,3.77,16
r08-02-08,pr,overseas,近畿,計,33.32,28.66,30.45,22.22,18.22,19.77,11.10,10.44,10.68,16
r08-02-08,pr,overseas,中国,鳥取県,17.28,18.18,17.90,13.41,13.07,13.18,3.87,5.11,4.72,16
r08-02-08,pr,overseas,中国,島根県,24.21,18.57,20.33,7.87,11.68,10.49,16.34,6.89,9.84,16
r08-02-08,pr,overseas,中国,岡山県,24.54,23.15,23.64,14.09,13.90,13.97,10.45,9.25,9.67,16
r08-02-08,pr,overseas,中国,広島県,20.51,21.00,20.81,13.69,12.55,13.00,6.82,8.45,7.81,16
r08-02-08,pr,overseas,中国,山口県,14.04,14.48,14.32,7.67,8.91,8.46,6.37,5.57,5.86,16
r08-02-08,pr,overseas,中国,計,19.96,19.67,19.78,12.06,11.97,12.00,7.90,7.70,7.78,16
r08-02-08,pr,overseas,四国,徳島県,24.27,21.70,22.54,16.50,11.05,12.97,7.77,10.65,9.57,16
r08-02-08,pr,overseas,四国,香川県,18.46,19.24,18.96,14.58,11.11,12.43,3.88,8.13,6.53,16
r08-02-08,pr,overseas,四国,愛媛県,16.36,18.94,17.95,9.34,10.39,9.99,7.02,8.55,7.96,16
r08-02-08,pr,overseas,四国,高知県,9.49,11.31,10.60,4.84,6.70,5.97,4.65,4.61,4.63,16
r08-02-08,pr,overseas,四国,計,15.73,17.24,16.68,10.13,9.56,9.78,5.60,7.68,6.90,16
r08-02-08,pr,overseas,九州,福岡県,22.11,21.30,21.59,13.88,16.10,15.31,8.23,5.20,6.28,16
r08-02-08,pr,overseas,九州,佐賀県,14.63,15.41,15.12,6.90,9.20,8.33,7.73,6.21,6.79,16
r08-02-08,pr,overseas,九州,長崎県,17.69,16.79,17.09,9.64,8.94,9.18,8.05,7.85,7.91,16
r08-02-08,pr,overseas,九州,熊本県,7.98,10.88,9.77,4.97,7.88,6.76,3.01,3.00,3.01,16
r08-02-08,pr,overseas,九州,大分県,16.56,21.25,19.67,7.88,11.67,10.32,8.68,9.58,9.35,16
r08-02-08,pr,overseas,九州,宮崎県,15.24,18.55,17.49,8.93,11.36,10.58,6.31,7.19,6.91,16
r08-02-08,pr,overseas,九州,鹿児島県,10.22,14.66,12.99,6.84,7.12,7.01,3.38,7.54,5.98,16
r08-02-08,pr,overseas,九州,沖縄県,3.91,4.94,4.52,2.62,3.02,2.86,1.29,1.92,1.66,16
r08-02-08,pr,overseas,九州,計,11.87,13.83,13.10,7.06,8.93,8.22,4.81,4.90,4.88,16
r08-02-08,pr,overseas,,合計,30.90,26.24,28.14,20.98,16.40,18.28,9.92,9.84,9.86,16
